func,classification
if,setup
&&,data cleaning
function,data cleaning
unlist,data cleaning
as.list,data cleaning
as.data.frame,data cleaning
function,data cleaning
if,setup
nrow,data cleaning
colnames,data cleaning
names,data cleaning
unname,data cleaning
%in%,data cleaning
ifelse,data cleaning
tibble,data cleaning
tibble,data cleaning
function,data cleaning
if,setup
nrow,data cleaning
order,data cleaning
colnames,data cleaning
unname,data cleaning
sort,data cleaning
names,data cleaning
lapply,data cleaning
length,data cleaning
function,data cleaning
suppressWarnings,visualization
unlist,data cleaning
names,data cleaning
colnames,data cleaning
as.data.frame,data cleaning
tibble,data cleaning
tibble,data cleaning
function,data cleaning
switch,import
function,data cleaning
if,setup
is.null,data cleaning
tibble,data cleaning
tibble,data cleaning
tibble,data cleaning
tibble,data cleaning
function,data cleaning
purrr,data cleaning
map_lgl,modeling
which,data cleaning
function,data cleaning
if,setup
&&,data cleaning
is.null,data cleaning
if,setup
is.null,data cleaning
tibble,data cleaning
dplyr,data cleaning
dplyr,data cleaning
do,data cleaning
function,data cleaning
tibble,data cleaning
tibble,data cleaning
dplyr,data cleaning
mutate,data cleaning
paste0,import
dplyr,data cleaning
dplyr,data cleaning
do,data cleaning
dplyr,data cleaning
ungroup,data cleaning
function,data cleaning
seq,visualization
if,setup
||,data cleaning
tibble,data cleaning
dplyr,data cleaning
dplyr,data cleaning
do,data cleaning
max,exploratory
seq,visualization
tibble,data cleaning
dplyr,data cleaning
dplyr,data cleaning
do,data cleaning
dplyr,data cleaning
bind_rows,data cleaning
tibble,data cleaning
dplyr,data cleaning
dplyr,data cleaning
do,data cleaning
function,data cleaning
if,setup
is.null,data cleaning
warning,setup
function,data cleaning
dplyr,data cleaning
filter,data cleaning
dplyr,data cleaning
select,data cleaning
purrr,data cleaning
strsplit,data cleaning
purrr,data cleaning
length,data cleaning
strsplit,data cleaning
purrr,data cleaning
stringr,data cleaning
str_detect,data cleaning
strsplit,data cleaning
as.integer,data cleaning
function,data cleaning
tibble,data cleaning
tibble,data cleaning
dplyr,data cleaning
mutate,data cleaning
paste0,import
dplyr,data cleaning
dplyr,data cleaning
do,data cleaning
dplyr,data cleaning
select,data cleaning
which,data cleaning
grepl,data cleaning
names,data cleaning
function,data cleaning
tibble,data cleaning
tibble,data cleaning
dplyr,data cleaning
mutate,data cleaning
paste0,import
dplyr,data cleaning
group_by,data cleaning
dplyr,data cleaning
do,data cleaning
dplyr,data cleaning
ungroup,data cleaning
function,data cleaning
tibble,data cleaning
tibble,data cleaning
dplyr,data cleaning
mutate,data cleaning
paste0,import
dplyr,data cleaning
dplyr,data cleaning
do,data cleaning
tibble,data cleaning
tibble,data cleaning
paste0,import
dplyr,data cleaning
ungroup,data cleaning
dplyr,data cleaning
group_by,data cleaning
dplyr,data cleaning
do,data cleaning
dplyr,data cleaning
ungroup,data cleaning
dplyr,data cleaning
select,data cleaning
function,data cleaning
dplyr,data cleaning
group_by,data cleaning
dplyr,data cleaning
filter,data cleaning
max,exploratory
unique,data cleaning
dplyr,data cleaning
ungroup,data cleaning
dplyr,data cleaning
select,data cleaning
function,data cleaning
dplyr,data cleaning
mutate,data cleaning
dplyr,data cleaning
select,data cleaning
tidyr,data cleaning
dplyr,data cleaning
mutate,data cleaning
function,data cleaning
tibble,data cleaning
tibble,data cleaning
dplyr,data cleaning
mutate,data cleaning
paste0,import
dplyr,data cleaning
group_by,data cleaning
dplyr,data cleaning
do,data cleaning
dplyr,data cleaning
ungroup,data cleaning
dplyr,data cleaning
rename,data cleaning
library,setup
library,setup
function,data cleaning
<<-,setup
<<-,setup
<<-,setup
<<-,setup
return,data cleaning
function,data cleaning
function,data cleaning
return,data cleaning
function,data cleaning
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
dim,exploratory
if,setup
function,data cleaning
<<-,setup
<<-,setup
<<-,setup
<<-,setup
<<-,setup
<<-,setup
<<-,setup
<<-,setup
return,data cleaning
function,data cleaning
function,data cleaning
return,data cleaning
function,data cleaning
suppressWarnings,visualization
length,data cleaning
nrow,data cleaning
nrow,data cleaning
length,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
dim,exploratory
length,data cleaning
if,setup
function,data cleaning
<<-,setup
<<-,setup
<<-,setup
<<-,setup
<<-,setup
return,data cleaning
function,data cleaning
function,data cleaning
message,communication
return,data cleaning
function,data cleaning
suppressWarnings,visualization
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
dim,exploratory
dim,exploratory
dim,exploratory
dim,exploratory
if,setup
function,data cleaning
<<-,setup
<<-,setup
<<-,setup
<<-,setup
<<-,setup
<<-,setup
return,data cleaning
function,data cleaning
function,data cleaning
return,data cleaning
function,data cleaning
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
all,data cleaning
%in%,data cleaning
sapply,data cleaning
if,setup
library,setup
library,setup
library,setup
library,setup
glimpse,exploratory
select,data cleaning
glimpse,exploratory
select,data cleaning
select,data cleaning
select,data cleaning
library,setup
library,setup
library,setup
library,setup
library,setup
pmap,communication
glimpse,exploratory
function,data cleaning
pull,evaluation
mutate,data cleaning
mutate,data cleaning
map,data cleaning
glimpse,exploratory
group_by,data cleaning
count,exploratory
ggplot,visualization
aes,visualization
paste,data cleaning
geom_col,visualization
coord_flip,visualization
possibly,modeling
tibble,data cleaning
unique,data cleaning
mutate,data cleaning
map,data cleaning
filter,data cleaning
is.na,data cleaning
glimpse,exploratory
left_join,data cleaning
group_by,data cleaning
count,exploratory
ggplot,visualization
aes,visualization
paste,data cleaning
geom_col,visualization
facet_wrap,visualization
coord_flip,visualization
mutate,data cleaning
mutate,data cleaning
map,data cleaning
glimpse,exploratory
library,setup
library,setup
library,setup
library,setup
library,setup
pmap,communication
glimpse,exploratory
pmap,communication
glimpse,exploratory
glimpse,exploratory
glimpse,exploratory
glimpse,exploratory
glimpse,exploratory
glimpse,exploratory
glimpse,exploratory
glimpse,exploratory
library,setup
library,setup
library,setup
GET,export
print,communication
names,data cleaning
library,setup
library,setup
proc.time,modeling
print,communication
print,communication
function,data cleaning
gsub,data cleaning
str_trim,data cleaning
for,data cleaning
paste0,import
try,setup
if,setup
typeof,exploratory
print,communication
for,data cleaning
length,data cleaning
if,setup
length,data cleaning
for,data cleaning
length,data cleaning
if,setup
length,data cleaning
for,data cleaning
length,data cleaning
data.frame,data cleaning
trim,data cleaning
rbind,data cleaning
print,communication
paste0,import
print,communication
proc.time,modeling
proc.time,modeling
paste0,import
library,setup
library,setup
library,setup
library,setup
function,data cleaning
gsub,data cleaning
str_trim,data cleaning
proc.time,modeling
print,communication
print,communication
for,data cleaning
read.csv,import
paste0,import
names,data cleaning
trim,data cleaning
trim,data cleaning
trim,data cleaning
trim,data cleaning
trim,data cleaning
nrow,data cleaning
while,evaluation
paste0,import
substr,data cleaning
paste0,import
if,setup
paste0,import
try,setup
if,setup
typeof,exploratory
data.frame,data cleaning
trim,data cleaning
rbind,data cleaning
print,communication
paste0,import
if,setup
grepl,data cleaning
data.frame,data cleaning
rbind,data cleaning
write.table,export
data.frame,data cleaning
print,communication
paste0,import
data.frame,data cleaning
rbind,data cleaning
if,setup
write.table,export
paste0,import
nrow,data cleaning
print,communication
print,communication
proc.time,modeling
proc.time,modeling
write.table,export
paste0,import
for,data cleaning
paste0,import
paste0,import
print,communication
paste0,import
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
paste0,import
names,data cleaning
for,data cleaning
nrow,data cleaning
print,communication
paste,data cleaning
library,setup
library,setup
library,setup
library,setup
function,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
function,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
paste0,import
readLines,import
paste,data cleaning
capture.output,communication
strsplit,data cleaning
strsplit,data cleaning
str_sub,data cleaning
readLines,import
paste,data cleaning
capture.output,communication
strsplit,data cleaning
strsplit,data cleaning
str_sub,data cleaning
write.table,export
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
function,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
function,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
function,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
function,data cleaning
str_split,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
list,data cleaning
source,setup
if,setup
require,setup
install.packages,setup
function,data cleaning
substr,data cleaning
if,setup
nrow,data cleaning
substr,data cleaning
nrow,data cleaning
ncol,data cleaning
for,data cleaning
nrow,data cleaning
paste0,import
substr,data cleaning
substr,data cleaning
for,data cleaning
nrow,data cleaning
paste0,import
substr,data cleaning
substr,data cleaning
for,data cleaning
print,communication
paste,data cleaning
paste0,import
colnames,data cleaning
for,data cleaning
nrow,data cleaning
if,setup
is.na,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
gsub,data cleaning
for,data cleaning
nrow,data cleaning
if,setup
is.na,data cleaning
if,setup
substr,data cleaning
print,communication
paste,data cleaning
write.table,export
print,communication
paste,data cleaning
if,setup
require,setup
install.packages,setup
function,data cleaning
if,setup
if,setup
if,setup
if,setup
dim,exploratory
dim,exploratory
dim,exploratory
dim,exploratory
for,data cleaning
if,setup
paste0,import
str_sub,data cleaning
if,setup
paste0,import
str_sub,data cleaning
paste0,import
str_sub,data cleaning
if,setup
is.null,data cleaning
source,setup
source,setup
for,data cleaning
print,communication
paste,data cleaning
paste0,import
paste0,import
for,data cleaning
nrow,data cleaning
if,setup
%in%,data cleaning
next,data cleaning
if,setup
is.na,data cleaning
write,export
print,communication
paste,data cleaning
source,setup
source,setup
library,setup
for,data cleaning
print,communication
paste0,import
str_trim,data cleaning
str_trim,data cleaning
str_trim,data cleaning
str_trim,data cleaning
rbind,data cleaning
saveRDS,export
paste0,import
for,data cleaning
print,communication
paste0,import
saveRDS,export
paste0,import
rm,setup
ls,setup
source,setup
library,setup
library,setup
function,data cleaning
for,data cleaning
paste0,import
try,setup
readLines,import
if,setup
typeof,exploratory
print,communication
str_split,data cleaning
as.character,data cleaning
sapply,data cleaning
function,data cleaning
str_sub,data cleaning
as.character,data cleaning
levels,data cleaning
as.factor,data cleaning
str_to_lower,data cleaning
as.character,data cleaning
levels,data cleaning
as.factor,data cleaning
sapply,data cleaning
data.frame,data cleaning
write.table,export
print,communication
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
source,setup
source,setup
function,data cleaning
print,communication
sprintf,communication
names,data cleaning
if,setup
is.null,data cleaning
levels,data cleaning
as.factor,data cleaning
table,exploratory
as.character,data cleaning
levels,data cleaning
as.factor,data cleaning
%in%,data cleaning
%in%,data cleaning
print,communication
print,communication
paste0,import
str_sub,data cleaning
str_sub,data cleaning
%in%,data cleaning
if,setup
nrow,data cleaning
print,communication
paste,data cleaning
return,data cleaning
print,communication
paste,data cleaning
list,data cleaning
dim,exploratory
proc.time,modeling
nrow,data cleaning
vector,setup
for,data cleaning
if,setup
str_sub,data cleaning
str_sub,data cleaning
paste0,import
readRDS,import
paste0,import
str_sub,data cleaning
paste0,import
if,setup
%in%,data cleaning
next,data cleaning
if,setup
is.na,data cleaning
str_sub,data cleaning
if,setup
is.na,data cleaning
rm,setup
saveRDS,export
proc.time,modeling
print,communication
paste,data cleaning
list,data cleaning
return,data cleaning
source,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
function,data cleaning
tolower,data cleaning
return,data cleaning
function,data cleaning
tm_map,data cleaning
tm_map,data cleaning
tm_map,data cleaning
tm_map,data cleaning
tm_map,data cleaning
tm_map,data cleaning
tm_map,data cleaning
tm_map,data cleaning
tm_map,data cleaning
tm_map,data cleaning
function,data cleaning
gsub,data cleaning
tm_map,data cleaning
tm_map,data cleaning
return,data cleaning
function,data cleaning
length,data cleaning
if,setup
for,data cleaning
gsub,data cleaning
if,setup
length,data cleaning
str_split,data cleaning
list,data cleaning
return,data cleaning
function,data cleaning
print,communication
paste0,import
paste0,import
if,setup
file.exists,setup
paste0,import
readRDS,import
paste0,import
return,data cleaning
readLines,import
readLines,import
readLines,import
sapply,data cleaning
as.character,data cleaning
levels,data cleaning
as.factor,data cleaning
readLines,import
readLines,import
readLines,import
readLines,import
sapply,data cleaning
as.character,data cleaning
levels,data cleaning
as.factor,data cleaning
print,communication
print,communication
length,data cleaning
vector,setup
for,data cleaning
if,setup
length,data cleaning
is.na,data cleaning
print,communication
print,communication
list,data cleaning
while,evaluation
if,setup
rm,setup
as.matrix,data cleaning
rowSums,data cleaning
sort,data cleaning
data.frame,data cleaning
names,data cleaning
print,communication
data.frame,data cleaning
length,data cleaning
dplyr,data cleaning
count,exploratory
list,data cleaning
paste0,import
saveRDS,export
paste0,import
return,data cleaning
list,data cleaning
knitr::opts_chunk,communication
set,communication
source,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
paste0,import
readRDS,import
paste0,import
print,communication
sprintf,communication
print,communication
sprintf,communication
brewer.pal,visualization
is.na,data cleaning
wordcloud,visualization
is.na,data cleaning
wordcloud,visualization
ggplot,visualization
aes,visualization
reorder,visualization
geom_col,visualization
xlab,visualization
coord_flip,visualization
theme,visualization
element_rect,visualization
ylab,visualization
xlab,visualization
ggtitle,visualization
ggplot,visualization
aes,visualization
reorder,visualization
geom_col,visualization
xlab,visualization
coord_flip,visualization
theme,visualization
element_rect,visualization
ylab,visualization
xlab,visualization
ggtitle,visualization
grid.arrange,visualization
hclust,visualization
dist,visualization
plot,visualization
hclust,visualization
dist,visualization
plot,visualization
wordcloud,visualization
ggplot,visualization
aes,visualization
reorder,visualization
geom_col,visualization
xlab,visualization
coord_flip,visualization
theme,visualization
element_rect,visualization
ylab,visualization
xlab,visualization
ggtitle,visualization
hclust,visualization
dist,visualization
plot,visualization
rm,setup
ls,setup
source,setup
source,setup
proc.time,modeling
readRDS,import
for,data cleaning
for,data cleaning
proc.time,modeling
print,communication
paste,data cleaning
list,data cleaning
rm,setup
ls,setup
source,setup
for,data cleaning
readLines,import
as.character,data cleaning
levels,data cleaning
as.factor,data cleaning
write.table,export
list,data cleaning
knitr::opts_chunk,communication
set,communication
paste0,import
readRDS,import
paste0,import
print,communication
sprintf,communication
print,communication
sprintf,communication
rm,setup
ls,setup
source,setup
require,setup
proc.time,modeling
for,data cleaning
for,data cleaning
paste0,import
rmarkdown,export
render,export
list,data cleaning
proc.time,modeling
print,communication
paste,data cleaning
list,data cleaning
rm,setup
ls,setup
if,setup
require,setup
install.packages,setup
proc.time,modeling
data.frame,data cleaning
for,data cleaning
for,data cleaning
readRDS,import
paste0,import
readRDS,import
paste0,import
as.character,data cleaning
data.frame,data cleaning
as.matrix,data cleaning
%in%,data cleaning
matrix,data cleaning
colSums,exploratory
max,exploratory
if,setup
sum,exploratory
list,data cleaning
list,data cleaning
gsub,data cleaning
data.frame,data cleaning
list,data cleaning
rbind,data cleaning
data.frame,data cleaning
paste0,import
rmarkdown,export
render,export
list,data cleaning
proc.time,modeling
print,communication
paste,data cleaning
list,data cleaning
list,data cleaning
knitr::opts_chunk,communication
set,communication
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
source,setup
function,data cleaning
print,communication
sprintf,communication
readRDS,import
paste0,import
names,data cleaning
table,exploratory
as.character,data cleaning
levels,data cleaning
as.factor,data cleaning
%in%,data cleaning
print,communication
print,communication
paste0,import
str_sub,data cleaning
str_sub,data cleaning
print,communication
paste,data cleaning
list,data cleaning
dim,exploratory
is.na,data cleaning
saveRDS,export
if,setup
require,setup
install.packages,setup
if,setup
require,setup
install.packages,setup
source,setup
function,data cleaning
as.Date,data cleaning
as.Date,data cleaning
print,communication
sprintf,communication
readRDS,import
paste0,import
as.Date,data cleaning
names,data cleaning
if,setup
is.null,data cleaning
levels,data cleaning
as.factor,data cleaning
%in%,data cleaning
str_sub,data cleaning
paste0,import
str_sub,data cleaning
paste0,import
levels,data cleaning
as.factor,data cleaning
for,data cleaning
paste0,import
readRDS,import
%in%,data cleaning
rbind,data cleaning
merge,data cleaning
rm,setup
nrow,data cleaning
for,data cleaning
if,setup
is.na,data cleaning
str_to_lower,data cleaning
strptime,setup
is.na,data cleaning
strptime,setup
paste0,import
str_sub,data cleaning
str_sub,data cleaning
str_sub,data cleaning
order,data cleaning
list,data cleaning
function,data cleaning
names,data cleaning
as.integer,data cleaning
ceiling,data cleaning
vector,setup
for,data cleaning
sum,exploratory
function,data cleaning
str_sub,data cleaning
plot,visualization
paste,data cleaning
lines,visualization
legend,visualization
par,visualization
hist,visualization
hist,visualization
alpha,visualization
legend,visualization
box,data cleaning
density,visualization
density,visualization
plot,visualization
lines,visualization
alpha,visualization
legend,visualization
hist,visualization
hist,visualization
alpha,visualization
legend,visualization
box,data cleaning
density,visualization
density,visualization
plot,visualization
lines,visualization
alpha,visualization
legend,visualization
par,visualization
title,visualization
paste0,import
par,visualization
title,visualization
paste0,import
par,visualization
function,data cleaning
dim,exploratory
colSums,exploratory
rowSums,data cleaning
sum,exploratory
matrix,data cleaning
for,data cleaning
for,data cleaning
sum,exploratory
pchisq,evaluation
function,data cleaning
names,data cleaning
as.character,data cleaning
levels,data cleaning
as.factor,data cleaning
%in%,data cleaning
names,data cleaning
rm,setup
length,data cleaning
vector,setup
for,data cleaning
matrix,data cleaning
str_split,data cleaning
names,data cleaning
function,data cleaning
names,data cleaning
names,data cleaning
%in%,data cleaning
%in%,data cleaning
%in%,data cleaning
order,data cleaning
order,data cleaning
data.frame,data cleaning
if,setup
print,communication
sum,exploratory
sum,exploratory
length,data cleaning
pchisq,evaluation
function,data cleaning
sapply,data cleaning
data.frame,data cleaning
knitr::opts_chunk,communication
set,communication
source,setup
source,setup
source,setup
library,setup
library,setup
as.character,data cleaning
readRDS,import
str_sub,data cleaning
str_sub,data cleaning
%in%,data cleaning
read.csv,import
as.character,data cleaning
levels,data cleaning
as.factor,data cleaning
is.na,data cleaning
for,data cleaning
length,data cleaning
str_split,data cleaning
%in%,data cleaning
levels,data cleaning
as.factor,data cleaning
vector,setup
length,data cleaning
names,data cleaning
for,data cleaning
str_sub,data cleaning
levels,data cleaning
as.factor,data cleaning
%in%,data cleaning
levels,data cleaning
as.factor,data cleaning
if,setup
for,data cleaning
as.character,data cleaning
for,data cleaning
if,setup
tbl_df,data cleaning
filter,data cleaning
group_by,data cleaning
summarise,data cleaning
mean,data cleaning
mutate,data cleaning
write.csv,export
group_by,data cleaning
summarise,data cleaning
sum,exploratory
names,data cleaning
vector,setup
length,data cleaning
names,data cleaning
for,data cleaning
vector,setup
length,data cleaning
names,data cleaning
for,data cleaning
paste0,import
if,setup
file.exists,setup
readRDS,import
if,setup
nrow,data cleaning
%in%,data cleaning
%in%,data cleaning
length,data cleaning
matrix,data cleaning
rownames,data cleaning
colnames,data cleaning
for,data cleaning
nrow,data cleaning
for,data cleaning
nrow,data cleaning
for,data cleaning
nrow,data cleaning
nrow,data cleaning
nrow,data cleaning
round,data cleaning
%in%,data cleaning
names,data cleaning
%in%,data cleaning
rownames,data cleaning
colnames,data cleaning
str_to_lower,data cleaning
vector,setup
for,data cleaning
if,setup
mean,data cleaning
vector,setup
for,data cleaning
if,setup
mean,data cleaning
vector,setup
for,data cleaning
if,setup
mean,data cleaning
mean,data cleaning
cbind,data cleaning
rm,setup
vector,setup
length,data cleaning
vector,setup
length,data cleaning
vector,setup
length,data cleaning
for,data cleaning
length,data cleaning
mean,data cleaning
mean,data cleaning
mean,data cleaning
title,visualization
rect,communication
text,visualization
rect,communication
text,visualization
rect,communication
text,visualization
rect,communication
text,visualization
rect,communication
text,visualization
lines,visualization
lines,visualization
for,data cleaning
lines,visualization
rect,communication
text,visualization
paste0,import
text,visualization
lines,visualization
lines,visualization
lines,visualization
axis,visualization
axis,visualization
seq,visualization
as.character,data cleaning
seq,visualization
box,data cleaning
legend,visualization
title,visualization
rect,communication
text,visualization
rect,communication
text,visualization
rect,communication
text,visualization
rect,communication
text,visualization
lines,visualization
lines,visualization
length,data cleaning
lines,visualization
lines,visualization
length,data cleaning
length,data cleaning
for,data cleaning
lines,visualization
if,setup
rect,communication
axis,visualization
axis,visualization
seq,visualization
as.character,data cleaning
seq,visualization
box,data cleaning
legend,visualization
data.frame,data cleaning
matrix,data cleaning
length,data cleaning
names,data cleaning
for,data cleaning
length,data cleaning
for,data cleaning
readRDS,import
paste0,import
length,data cleaning
vector,setup
for,data cleaning
matrix,data cleaning
length,data cleaning
data.frame,data cleaning
cbind,data cleaning
rep,data cleaning
names,data cleaning
names,data cleaning
rbind,data cleaning
write.csv,export
paste0,import
read.csv,import
for,data cleaning
data.frame,data cleaning
matrix,data cleaning
names,data cleaning
for,data cleaning
length,data cleaning
paste0,import
if,setup
file.exists,setup
readRDS,import
length,data cleaning
vector,setup
for,data cleaning
data.frame,data cleaning
rep,data cleaning
rbind,data cleaning
write.csv,export
paste0,import
library,setup
library,setup
setwd,setup
fread,import
fread,import
separate,data cleaning
mutate,data cleaning
ifelse,data cleaning
is.na,data cleaning
mutate,data cleaning
ifelse,data cleaning
is.na,data cleaning
mutate,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
group_by,data cleaning
summarise,data cleaning
sum,exploratory
as.numeric,data cleaning
group_by,data cleaning
mutate,data cleaning
sum,exploratory
mutate,data cleaning
filter,data cleaning
str_detect,data cleaning
group_by,data cleaning
summarise,data cleaning
sum,exploratory
as.numeric,data cleaning
group_by,data cleaning
summarise,data cleaning
sum,exploratory
as.numeric,data cleaning
left_join,data cleaning
mutate,data cleaning
ifelse,data cleaning
is.na,data cleaning
mutate,data cleaning
filter,data cleaning
str_detect,data cleaning
separate,data cleaning
mutate,data cleaning
ifelse,data cleaning
is.na,data cleaning
mutate,data cleaning
ifelse,data cleaning
is.na,data cleaning
mutate,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
str_replace_all,data cleaning
group_by,data cleaning
summarise,data cleaning
sum,exploratory
as.numeric,data cleaning
group_by,data cleaning
mutate,data cleaning
sum,exploratory
mutate,data cleaning
group_by,data cleaning
summarise,data cleaning
sum,exploratory
as.numeric,data cleaning
group_by,data cleaning
summarise,data cleaning
sum,exploratory
as.numeric,data cleaning
left_join,data cleaning
mutate,data cleaning
arrange,data cleaning
desc,data cleaning
install.packages,setup
install.packages,setup
library,setup
library,setup
install.packages,setup
library,setup
install.packages,setup
library,setup
select,data cleaning
mutate,data cleaning
ggplot,visualization
aes,visualization
geom_bar,visualization
coord_flip,visualization
library,setup
library,setup
library,setup
setwd,setup
as.data.frame,data cleaning
arrange,data cleaning
write.csv,export
install.packages,setup
install.packages,setup
install.packages,setup
install.packages,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
data.frame,data cleaning
lapply,data cleaning
write.xlsx,export
as_tibble,import
setwd,setup
fread,import
strsplit,data cleaning
ldply,data cleaning
colnames,data cleaning
cbind,data cleaning
read.table,import
read_excel,import
colnames,data cleaning
strsplit,data cleaning
ldply,data cleaning
colnames,data cleaning
cbind,data cleaning
group_by,data cleaning
summarise,data cleaning
count,exploratory
filter,data cleaning
group_by,data cleaning
summarise,data cleaning
count,exploratory
mutate,data cleaning
filter,data cleaning
group_by,data cleaning
summarise,data cleaning
count,exploratory
mutate,data cleaning
grep,data cleaning
grep,data cleaning
group_by,data cleaning
summarise,data cleaning
count,exploratory
order,data cleaning
filter,data cleaning
order,data cleaning
filter,data cleaning
order,data cleaning
filter,data cleaning
install.packages,setup
install.packages,setup
install.packages,setup
install.packages,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
data.frame,data cleaning
lapply,data cleaning
write.xlsx,export
as_tibble,import
setwd,setup
fread,import
strsplit,data cleaning
ldply,data cleaning
colnames,data cleaning
cbind,data cleaning
fread,import
strsplit,data cleaning
ldply,data cleaning
colnames,data cleaning
cbind,data cleaning
summary,exploratory
dplyr,data cleaning
group_by,data cleaning
summarise,data cleaning
count,exploratory
filter,data cleaning
dplyr,data cleaning
group_by,data cleaning
summarise,data cleaning
count,exploratory
mutate,data cleaning
ungroup,data cleaning
write.csv,export
filter,data cleaning
dplyr,data cleaning
group_by,data cleaning
summarise,data cleaning
count,exploratory
mutate,data cleaning
write.csv,export
filter,data cleaning
dplyr,data cleaning
group_by,data cleaning
summarise,data cleaning
count,exploratory
mutate,data cleaning
